name,score
FAST Racing Neo,8
Darkest Dungeon,9.1
Darkest Dungeon,9.1
Final Fantasy Explorers,6.8
The Witness,10
The Witness,10
The Witness,10
Plants vs. Zombies: Garden Warfare 2,8.2
Plants vs. Zombies: Garden Warfare 2,8.2
Pillar of Eternity: The White March - Part II,8
Fire Emblem Fates: Revelation,9.5
Homeworld: Deserts of Kharak,8.8
Tharsis,4.8
Tharsis,4.8
Mario & Luigi: Paper Jam,5.9
Gemini: Heroes Reborn,6.4
Resident Evil Zero,6.5
Resident Evil Zero,6.5
Rocket League,8
The Walking Dead: Michonne -- Episode 1: In Too Deep,7
Far Cry Primal,7.9
Project X Zone 2,6.5
Fire Emblem Fates: Birthright,9.4
Fire Emblem Fates: Conquest,9.5
Street Fighter V,8
Street Fighter V,8
Layers of Fear,5.8
Pony Island,9
Punch Club,6.5
"That Dragon, Cancer",8
OxenFree,8.2
Minecraft: Story Mode -- Episode 4: A Block and a Hard Place,6.3
Assassin's Creed Chronicles: India,6
Undertale,10
Undertale,10
Rick and Morty: Pocket Mortys,5.5
Naruto Shippuden: Ultimate Ninja Storm 4,5.5
Dying Light: The Following,8.8
Assassin's Creed Chronicles: Russia,5.8
Cobalt,4.5
Firewatch,9.3
Firewatch,9.3
Firewatch,9.3
Unravel,8.3
XCOM 2,9.3
Hardware: Rivals,5.5
Amplitude,7
King's Quest -- Episode 2: Rubble without a Cause,6.7
Bombshell,6.9
Rise of the Tomb Raider -- Baba Yaga: The Temple of the Witch,7
LEGO Marvel's Avengers,6.7
Virginia,8.5
Mount & Blade: Warband,6.8
FIFA 17,8.4
FIFA 17,8.4
NBA 2K17,8.9
Forza Horizon 3,9.5
Batman: The Telltale Series -- Episode 2: Children of Arkham,8
Rive,6.5
BioShock: The Collection,8.2
BioShock: The Collection,8.2
Dead Rising Triple Pack,6.5
Dead Rising Triple Pack,6.5
Pac-Man Championship Edition 2,7.5
Pro Evolution Soccer 2017,9.5
Pro Evolution Soccer 2017,9.5
Dragon Quest VII: Fragments of the Forgotten Past,7.7
ReCore,7.3
ReCore,7.3
NHL 17,8.4
World of Warcraft: Legion,9.1
Project Highrise,7
Phoenix Wright: Ace Attorney -- Spirit of Justice,6.5
The Turing Test,7
Assetto Corsa,6
Assetto Corsa,6
1979 Revolution,8
Star Fox Zero,7.5
Star Fox Guard,7.8
The Banner Saga 2,8.9
Fallout 4: Wasteland Workshop,5.5
Stardew Valley,8.8
Fallout 4: Automatron,7.5
TrackMania Turbo,8.4
TrackMania Turbo,8.4
Hyrule Warriors Legends,4
Chronos,8
Hyper Light Drifter,7.6
Ratchet & Clank,9
Dead Star,7.1
Dead Star,7.1
HTC Vive,9.3
Lucky's Tale,6
Hyrule Warriors Legends,6.8
Day of the Tentacle: Remastered,8.8
EA Sports UFC 2,6.4
EA Sports UFC 2,6.4
Tom Clancy's The Division,6.7
Tom Clancy's The Division,6.7
Tom Clancy's The Division,6.7
Pokken Tournament,8
Teenage Mutant Ninja Turtles: Mutants in Manhattan,4.9
The Witcher 3: Wild Hunt -- Blood and Wine,9
Salt and Sanctuary,8.6
Fallout 4: Far Harbor,8.3
Starcraft II: Nova Covert Ops -- Mission Pack 1,6.2
Enter the Gungeon,8.5
Enter the Gungeon,8.5
Dark Souls III,9.5
Dark Souls III,9.5
Rise of the Tomb Raider -- Cold Darkness Awakened,7
Quantum Break,8
Inside,10
The Technomancer,4.9
Umbrella Corps,3.8
Fallout 4: Contraptions,6.8
Mighty No. 9 (Collector's Edition),5.6
Alekhine's Gun,3
Hitman: Episode 1,7.9
Hitman: Episode 1,7.9
Hitman: Episode 1,7.9
Grim Dawn,8.7
Heavy Rain,7.5
Total War: Warhammer,8.6
Homefront: The Revolution,5
Doom,7.1
XCOM 2: Alien Hunters,7.7
Uncharted 4: A Thief's End,9
Valkyria Chronicles Remastered,9
Valkyria Chronicles,9
Stellaris,6.3
MLB The Show 16,9.3
The Walking Dead: Michonne -- Episode 2: Give No Shelter,7.2
Ashes of Singularity,7.7
Oculus Rift,9
Adr1ft [VR Edition],7
Adr1ft,6
Mighty No. 9,5.6
Trials of the Blood Dragon,6.9
Trials of the Blood Dragon,6.9
Edge of Nowhere,6.7
Mirror's Edge Catalyst,6.8
Mirror's Edge Catalyst,6.8
Mirror's Edge Catalyst,6.8
The Flame in the Flood,7.3
The Legend of Zelda: Twilight Princess HD,8.6
Bravely Second: End Layer,7.1
Devil Daggers,8.5
Superhot,7.5
Plants vs. Zombies: Garden Warfare 2,8.2
Battleborn,7.1
Battleborn,7.1
Battleborn,7.1
The Park,7
The Park,7
