score_phrase,title,platform,score,genre,release_year,release_month,release_day
Good,#IDARB,Xbox One,7.5,Party,2015,1,14
Great,1001 Spikes,Wii U,8,Platformer,2014,6,8
Great,1001 Spikes,PlayStation 4,8,Platformer,2014,6,8
Great,1001 Spikes,PC,8,Platformer,2014,6,8
Great,1001 Spikes,Nintendo 3DS,8,Platformer,2014,6,8
Great,1001 Spikes,PlayStation Vita,8,Platformer,2014,6,8
Great,1979 Revolution,PC,8,"Action, Adventure",2016,4,21
Good,2014 FIFA World Cup Brazil,PlayStation 3,7.5,Sports,2014,4,17
Good,2014 FIFA World Cup Brazil,Xbox 360,7.5,Sports,2014,4,17
Bad,7 Days to Die,Xbox One,4.9,"Shooter, Adventure",2016,7,13
Amazing,80 Days,iPhone,9,Adventure,2014,12,4
Great,A Bird Story,PC,8.8,RPG,2014,11,26
Okay,Aaru's Awakening,PC,6.7,Platformer,2015,3,3
Okay,Abyss Odyssey,Xbox 360,6.7,Action,2014,7,24
Okay,Abyss Odyssey,PC,6.7,Action,2014,7,24
Okay,Abyss Odyssey,PlayStation 3,6.7,Action,2014,7,24
Great,Abzu,PlayStation 4,8.4,Adventure,2016,8,2
Okay,Adr1ft,PC,6,Adventure,2016,3,28
Good,Adr1ft [VR Edition],PC,7,Adventure,2016,3,28
Good,Age of Wonders III,PC,7.1,Strategy,2014,4,2
Mediocre,AirMech Arena,Xbox 360,5.5,"Action, Simulation",2014,8,21
Awful,Alekhine's Gun,PC,3,Action,2016,3,11
Mediocre,Alien: Isolation,PC,5.9,Action,2014,10,3
Mediocre,Alien: Isolation,PlayStation 4,5.9,Action,2014,10,3
Mediocre,Alien: Isolation,Xbox One,5.9,Action,2014,10,3
Good,Among the Sleep,PC,7.3,Adventure,2014,6,5
Good,Amplitude,PlayStation 4,7,"Music, Action",2016,1,8
Okay,Ancient Space,PC,6.6,Strategy,2014,10,2
Okay,Angry Birds 2,iPhone,6.7,Puzzle,2015,8,6
Mediocre,Animal Crossing: Amiibo Festival,Wii U,5,Party,2015,11,18
Great,Animal Crossing: Happy Home Designer,Nintendo 3DS,8,Simulation,2015,9,22
Good,Anno 2205,PC,7,Simulation,2015,11,4
Bad,Another World: 20th Anniversary Edition,PlayStation Vita,4,Adventure,2014,7,11
Bad,Another World: 20th Anniversary Edition,PlayStation 3,4,Adventure,2014,7,11
Bad,Another World: 20th Anniversary Edition,PlayStation 4,4,Adventure,2014,7,11
Okay,Apotheon,PC,6.9,"Action, RPG",2015,2,5
Mediocre,Armello,PC,5.6,Board,2015,9,9
Good,Ashes of Singularity,PC,7.7,Strategy,2016,3,31
Okay,Assassin’s Creed Rogue,PlayStation 3,6.8,Action,2014,11,15
Okay,Assassin’s Creed Rogue,Xbox 360,6.8,Action,2014,11,15
