title,score
The Tale of Despereaux,3
Merv Griffin's Xwords,5
Maboshi's Arcade,8
Mystery P.I.: Portrait of a Thief,6
Candace Kane's Candy Factory,5.8
SPRay,5.6
Petz Sports,5
Saints Row 2,6.3
Silent Hill: The Escape,5.3
Pirate Master III,6
Interpol: The Trail of Dr. Chaos,4.5
Monkey Mischief,4
Bratz: Girlz Really Rock!,5
Calvin Tucker's Redneck Jamboree,3.4
Bigfoot: Collision Course,2.1
Master of the Monster Lair,6.3
GTR Evolution,8.5
Combat Wings: Battle of Britain,7
Theresia,7.1
Kirby's Dream Land 3,7
Alan Probe: Amateur Surgeon,8
Puzzle Arcade,5
PowerUp Forever,6.5
Brain Challenge,7.2
Championship Foosball,3.5
Pit Crew Panic,3.9
Hello Kitty Daily,2
Elebits: The Adventures of Kai and Zero,7.9
My Fitness Coach,7.2
Winter Sports 2: The Next Challenge,4.1
Bella Sara,6.5
Castlevania III: Dracula's Curse,9
Space Ninja,8.5
Castlevania III: Dracula's Curse,9
World War One -- La Grande Guerre,5.2
Dora the Explorer: Dora Saves the Snow Princess,5.7
Kirby's Dream Land 3,7
Phantasy Star IV,9
Zoda's Revenge: StarTropics II,8.5
Zoda's Revenge: StarTropics II,8.5
Phantasy Star IV,9
Petz: Horse Club,6.5
Crayon Physics Deluxe,8.8
NCAA Basketball 09,5.1
The Fast and the Furious: Pink Slip,8
Star Ocean: Second Evolution,8
Low Grav Racer,5
Mahjong Tales: Ancient Wisdom,5.2
Dancing With The Stars: We Dance!,4.5
Moon,8.5
Cuboid,9
Matchstick,4.8
Petz Rescue: Wildlife Vet,7
Space Invaders Get Even,5.9
Ultimate Band,7
Chocolate Shop Frenzy,8.3
Space War Commander,7.2
King of Clubs Mini-Golf,3.5
Planet Pachinko,3
Fun! Fun! Minigolf,5.8
The Lord of the Rings: Conquest,7
Mirror's Edge,8.5
Pony Friends: Mini-Breeds Edition,7
Tiki Towers,7.3
Cue Sports: Pool Revolution,6
Petz: Catz Clan,5
WordJong Party,7.3
Monster Jam: Urban Assault,6
The Lord of the Rings: Conquest,6.7
The Lord of the Rings: Conquest,7
Toy Bot Diaries 3,8
Sandy Beach,5
Family Party: 30 Great Games,6.3
Luxor: Quest for the Afterlife,6
Jumble Madness,6.5
GTI Club +,7
Inkheart,4.5
Fishing Master World Tour,6.8
Paws & Claws: Pet Resort,4
Personal Trainer: Math,5
Ultimate Shooting Collection,6.9
PBR: Out of the Chute,3.5
The Maw,8
Newtonica2: Return of the Baby Bird,8.5
PBR: Out of the Chute,3.4
PBR: Out of the Chute,3.6
M.U.S.H.A.,8.5
MindHabits,4.5
Puzzle Quest: Chapter 1 -- Battle of Gruulkar,7.2
Family Glide Hockey,4
High Voltage Hot Rod Show,6
M.U.S.H.A.,8.5
Big Bang Mini,8.7
PBR: Out of the Chute,3.5
Skate 2,8.3
Skate 2,8.3
AC/DC Live: Rock Band Track Pack,5.5
The Lord of the Rings: Conquest,7
Magic Orbz,7.5
Bratz Kidz,2.5
Killzone 2,9.4
Commander in Chief: Geo-Political Simulator 2009,4.5
Quadrum:colors,6
Cesar Millan's The Dog Whisperer,3
FunTown Mahjong,4.5
Ar Tonelico 2: Melody of MetaFalica,8.4
Downhill Bowling,7.2
Bounce On,7.7
BubbleTown,8
Fallout 3 -- Operation: Anchorage,7.8
Afro Samurai,6.6
Drop7,8.5
Battlestrike: Force of Resistance,5
Hotel For Dogs,3.5
MLB Front Office Manager,6.6
Hotel For Dogs,3.4
Niki: Rock 'n' Ball,4.7
MLB Front Office Manager,6.6
BBQ Pro,6.5
Fallout 3 -- Operation: Anchorage,7.8
MLB Front Office Manager,6.6
Afro Samurai,6.6
Rock Band 2,7.9
Wonder Boy in Monster Land,7.5
Wonder Boy in Monster Land,7.5
Lit,7.1
Deadly Creatures,8
Prinny: Can I Really Be the Hero?,8.3
Days of Thunder,7.9
Ferrari GT: Evolution,7.3
3 on 3 NHL Arcade,5.9
Bratz: Girlz Really Rock!,5
Bratz: Girlz Really Rock!,5
LocoRoco 2,9.1
The House of the Dead: Overkill,8.3
3 on 3 NHL Arcade,5.9
Nobunaga's Ambition: Iron Triangle,8
Pirates: Hunt for Blackbeard's Booty,4
Savage Moon,7
Ski and Shoot,6.8
Gallop and Ride,5.3
Chop Sushi,7.9
Life Force,9
Onechanbara: Bikini Samurai Squad,3
Grand Theft Auto IV: The Lost and Damned,9
Fire Emblem: Shadow Dragon,8.5
R-Type Dimensions,8.4
Time Crisis Strike,7.2
DJ Max Fever,8
Payback,7.2
Happy Cooking,6
SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,5.5
Burnout Paradise: The Ultimate Box,8.4
Club Penguin: Elite Penguin Force,7
Iron Chef America: Supreme Cuisine,4.5
Zombie Chav Hunt,5.5
SimAnimals,7.3
Sonic Chaos,6
Sonic Chaos,6
Blue Attack,7.6
Whack Attack! Games,7.5
Bejeweled 2,7
Metal Slug 2,7.5
Cartoon Network Universe: FusionFall,7
X-Blades,6
X-Blades,6
X-Blades,6
Wild West Guns,7.2
Onechanbara: Bikini Zombie Slayers,6.9
I-play Bowling 3D,9
Lonpos,5.8
Snowboard Riot,5.5
Tenchu: Shadow Assassins,8
"My World, My Way",8
Arcade QB Pass Attack,4
Underwater the Game,4.8
X's & O's Football,7.4
Jungle Speed (WiiWare Edition),8
Metal Slug 2,7.5
Perfect World,7.5
Coraline,2.5
SimAnimals,5.3
Street Fighter IV,9.3
Minesweeper Flags,5.2
Sonic's Ultimate Genesis Collection,9
Sonic's Ultimate Genesis Collection,9
Street Fighter IV,9.3
Dragon Quest V: Hand of the Heavenly Bride,8.9
Action Girlz Racing,0.8
Neighborhood Games,4
Orchard,4
Coraline,2.5
F.E.A.R. 2: Project Origin,8.1
F.E.A.R. 2: Project Origin,8.3
F.E.A.R. 2: Project Origin,8.1
NASCAR Kart Racing,7.4
MERCS,7.5
Retro Game Challenge,8.6
Flower,9
MERCS,7.5
ShellShock 2: Blood Trails,4.6
Rounders,3
Puzzle Quest: Galactrix,8.5
Family & Friends Party,5.9
Empire: Total War,9.5
Cooking Mama,7.3
Zen Bound,9.5
The Last Ninja,7.5
The Last Ninja,7.5
Battle Rage: Mech Conflict,2
Tomb Raider Underworld: Beneath the Ashes,5
Blue Dragon Plus,8
Pitstop II,6
Peggle: Dual Shot,8.6
Disney Sing It: High School Musical 3: Senior Year (Game & Microphone),7
Drakensang: The Dark Eye,7.6
My DoItAll,5
Race Pro,7.7
Exit 2,6.5
International Karate,7
Onslaught,6
Stoked,6.9
50 Cent: Blood on the Sand,7.1
Tower Bloxx Deluxe,8.5
Noby Noby Boy,6
USA Today Puzzle Craze,7.9
Disney Sing It: High School Musical 3: Senior Year (Game & Microphone),7
Space Invaders,6.4
Disney Sing It: High School Musical 3: Senior Year,7
Disney Sing It: High School Musical 3: Senior Year (Game & Microphone),6.8
Legacy of Ys: Books I & II,6.7
Disney Sing It: High School Musical 3: Senior Year,7
iDracula: Undead Awakening,8.2
Zuma,8
Halo Wars,8.4
Deal or No Deal,5.5
Perimeter II: New Earth,5.1
Star Ocean: The Last Hope,8
Death Tank,5.5
Cake Mania 3,7.3
Dead Rising: Chop Til You Drop,6.9
Pitstop II,6
50 Cent: Blood on the Sand,7.1
Slotz Racer,8
We Ski & Snowboard,5.4
Watchmen: The End is Nigh -- Part 1,5.5
No Gravity: The Plague of Mind,7
Tom Clancy's HAWX,6.7
Watchmen: The End is Nigh -- Part 1,5.5
3D Brick Breaker Revolution,7.4
Tom Clancy's HAWX,6.8
Petz: Crazy Monkeyz,3.5
Puzzle Quest: Galactrix,8.4
Zombie Infection,8.5
Street Fighter IV (Collector's Edition),9.3
Street Fighter IV (Collector's Edition),9.3
"Warhammer 40,000: Dawn of War II",9
Chuck the Ball,7
ExZeus,7.9
Life Force,9
Sins of a Solar Empire: Entrenchment,8.7
Major League Baseball 2K9,6.8
Tom Clancy's EndWar,7
Sonic & The Black Knight,3.9
Major League Baseball 2K9,6.4
MLB 09: The Show,8.7
Jake Power: Policeman,7
Jake Power: Fireman,7
Evasive Space,6.9
Pinball Dreams,6.8
Major League Baseball 2K9,6.8
Eat Lead: The Return of Matt Hazard,5.2
ShellShock 2: Blood Trails,4.6
ShellShock 2: Blood Trails,4.6
Eat Lead: The Return of Matt Hazard,5.2
Tomb Raider Underworld,4
Gradius ReBirth,7
MLB 09: The Show,7.5
Resident Evil 5 (Collector's Edition),9
Shooter,4.8
MadWorld,9
Codename: Panzers: Cold War,6.9
Halo Wars (Limited Edition),8.4
Resident Evil 5 (Collector's Edition),9
Major League Baseball 2K9,6.6
Alex Kidd: The Lost Stars,5
Empire: Total War (Special Forces Edition),9.5
Resident Evil 5,9
Prince of Persia: Epilogue,7.8
MLB 09: The Show,7.3
Avalon Code,8.3
The King of Fighters '98 Ultimate Match,7.8
Resident Evil 5,9
Watchmen: The End is Nigh -- Part 1,5.5
Phantasy Star Portable,7
Heavy Mach,7.8
Prince of Persia: Epilogue,7.8
Ogre Battle: The March of the Black Queen,9
Ogre Battle: The March of the Black Queen,9
Disney Sing It: High School Musical 3: Senior Year,6.8
Astro Tripper,8
Mana Khemia: Student Alliance,2.7
Henry Hatsworth in the Puzzling Adventure,9
The Oregon Trail,8.5
Bit.Trip Beat,8
Trivial Pursuit,7.8
Valkyrie Profile: Covenant of the Plume,8.5
Oort Storm: FS5,6.5
Grey's Anatomy: The Video Game,6
MySims Party,6
New Play Control! Pikmin,8
Grey's Anatomy: The Video Game,6.3
Boing! Docomodake DS,7.5
The Maw,8
Grey's Anatomy: The Video Game,6
Crystal Defenders,5.5
Major League Baseball 2K9 Fantasy All-Stars,6.2
Trivial Pursuit,7.8
Resistance: Retribution,9.2
Trivial Pursuit,7.8
Tomb Raider Underworld: Lara's Shadow,8
Peggle,9
WordFu,7.5
Trivial Pursuit,7.8
New Play Control! Mario Power Tennis,5.8
TNA Wrestling (2009),7
The Chronicles of Riddick: Assault on Dark Athena,7.4
Broken Sword: Shadow of the Templars -- The Director's Cut,7.6
Bonsai Barber,8
Rhythm Heaven,9
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",8.5
Worms [2007],7.9
Sway,7.4
The Dishwasher: Dead Samurai,7.3
The Chronicles of Riddick: Assault on Dark Athena,7.4
SBK: Superbike World Championship,6
Wanted: Weapons of Fate,7.3
Super Punch-Out!!,8
MotoGP,5
Don King Boxing,6.8
Super Punch-Out!!,8
Wolfenstein 3-D,7.3
SBK: Superbike World Championship,6
Guitar Hero: Metallica,8.9
Guitar Hero: Metallica,8.9
Guitar Hero: Metallica,8.9
GeoDefense,8.2
Ultimate Ninja 4: Naruto Shippuden,7
"Burn, Zombie, Burn!",8.3
Ceville,9
My Pet Shop,7
Pro Evolution Soccer 2009,8.5
Metal Gear Solid Touch,6
Disney Sing It: High School Musical 3: Senior Year (Game & Microphone),7
Rune Factory: Frontier,8.3
Ready 2 Rumble Revolution,3.5
Disney Sing It: High School Musical 3: Senior Year,7
Tom Clancy's HAWX,6.7
NCAA Basketball 09: March Madness Edition,6.5
Red Baron Arcade,2
Ski-Doo Snowmobile Challenge,6.7
Summer Games II,4.5
Hasbro Family Game Night: Battleship,6
Hasbro Family Game Night: Scrabble,7.7
Men of War,8
Hasbro Family Game Night: Yahtzee,8
Hasbro Family Game Night: Connect Four,7.5
Summer Games II,4.5
Suikoden Tierkreis,8.8
Age of Booty,5.5
Major League Baseball 2K9,7
TrackMania DS,7.8
World in Conflict: Soviet Assault,7.8
Grand Theft Auto: Chinatown Wars,9.5
World in Conflict (Complete Edition),9
Merchants of Brooklyn,5
Mega Man 2,1
Fallout 3 -- The Pitt,7.5
Dark Sector,7.7
Wheelman,4.8
Wheelman,4.8
Final Fantasy Crystal Chronicles: Echoes of Time,6.5
WWE Legends of WrestleMania,6.5
WWE Legends of WrestleMania,6.5
Pop 'Em Drop 'Em Samegame,7.5
Fast & Furious,8
Wanted: Weapons of Fate,7.3
The Path,7.7
Wanted: Weapons of Fate,7.3
Final Fantasy Crystal Chronicles: Echoes of Time,8.5
Lux-Pain,4.2
Command & Conquer: Red Alert 3 (Ultimate Edition),7.7
Pokemon Platinum Version,8.8
The Last Remnant,6.8
Wheel of Fortune,5.8
Buzz! Junior: Jungle Party,2.3
Command & Conquer: Red Alert 3 -- Uprising,8
Grand Ages: Rome,6.8
Let's Golf,8
Marble Saga: Kororinpa,6.5
The Godfather II,7.6
Puzzle Quest: Galactrix,8.5
Freeballin',6.7
Baseball Superstars 2009,7.9
Ninja Blade,6.5
MySims Party,6.4
Scrabble,7.4
Scrabble,7.4
Equilibrio,6
Glyder,7.8
Monsters vs. Aliens,5
Samurai Shodown Anthology,4.8
Iron Grip: Warlord,4.5
Gardening Mama,4.9
Stormrise,2.1
24: Special Ops,7.2
Brain Age Express: Math,7.9
Monsters vs. Aliens,5
Monsters vs. Aliens,5
Diamond Islands,8
The Tower of Druaga,3
Art Style: Aquia,8.4
Pitfall: The Mayan Adventure,5
Braid,8.8
Hannah Montana: The Movie,2.3
Master of Illusion Express: Shuffle Games,4
Professor Heinz Wolff's Gravity,5.9
Jewel Master: Cradle of Rome,6
Samurai Shodown Anthology,7.1
Ski-Doo Snowmobile Challenge,6.4
Flock,6.9
Galaxy on Fire,7.4
Zubo,7.5
Samurai Shodown Anthology,7.1
Mappy (Arcade),6.5
Mappy,6.5
Broken Sword: Shadow of the Templars -- The Director's Cut,7.6
SBK: Superbike World Championship,6
Bookworm,8.9
Dynasty Warriors: Gundam 2,5.6
Hannah Montana: The Movie,4
Zeno Clash,8.4
Dynasty Warriors: Gundam 2,4.9
Assassin's Creed: Altair's Chronicles,8.3
Fast & Furious,8.5
Monsters vs. Aliens,5
Master of Illusion Express: Funny Face,5
Bird & Beans,7
Wario Ware Snapped!,7.8
Monsters vs. Aliens,5
The Tower of Druaga,3
Star Force,6
Emergency! Disaster Rescue Squad,7.9
Major League Baseball 2K9,6
Hammerin' Hero,8.8
Death Track: Resurrection,6.7
